id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,latitude,longitude,location
9446824,HX100141,2014-01-01T02:00:00,0000X W ILLINOIS ST,0460,BATTERY,SIMPLE,STREET,false,false,1831,18,42,8,08B,41.890828047,-87.630234746,POINT(-87.630234746 41.890828047)
9446748,HX100020,2014-01-01T00:00:00,006XX N DEARBORN ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1832,18,42,8,06,41.893541578,-87.629701805,POINT(-87.629701805 41.893541578)
9446758,HX100030,2014-01-01T00:30:00,052XX W RACE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1523,15,28,25,14,41.890046233,-87.756333158,POINT(-87.756333158 41.890046233)
9446760,HX100027,2014-01-01T00:30:00,053XX W WELLINGTON AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,2514,25,31,19,08B,41.935011125,-87.759739272,POINT(-87.759739272 41.935011125)
9446764,HX100054,2014-01-01T00:10:00,014XX W LEXINGTON ST,0460,BATTERY,SIMPLE,STREET,false,false,1231,12,25,28,08B,41.872508972,-87.663069212,POINT(-87.663069212 41.872508972)
9446765,HX100013,2014-01-01T00:03:00,064XX S ROCKWELL ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),true,false,825,8,15,66,15,41.776780469,-87.688465418,POINT(-87.688465418 41.776780469)
9446768,HX100076,2014-01-01T00:10:00,016XX N MENARD AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE,false,false,2531,25,29,25,15,41.910165043,-87.770310914,POINT(-87.770310914 41.910165043)
9446769,HX100061,2014-01-01T01:00:00,064XX S CENTRAL PARK AVE,2022,NARCOTICS,POSS: COCAINE,SIDEWALK,true,false,823,8,13,65,18,41.77583207,-87.71309304,POINT(-87.71309304 41.77583207)
9446770,HX100039,2014-01-01T00:30:00,002XX S LOCKWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1522,15,29,25,18,41.87786538,-87.757599414,POINT(-87.757599414 41.87786538)
9446774,HX100101,2014-01-01T01:19:00,026XX E 78TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,421,4,7,43,18,41.753638069,-87.559191655,POINT(-87.559191655 41.753638069)
9446776,HX100046,2014-01-01T00:50:00,042XX W WILCOX ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,RESIDENTIAL YARD (FRONT/BACK),true,false,1115,11,28,26,26,41.878796732,-87.731574779,POINT(-87.731574779 41.878796732)
9446778,HX100043,2014-01-01T00:40:00,018XX N KEDVALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2534,25,30,20,08B,41.914110262,-87.730126268,POINT(-87.730126268 41.914110262)
9446779,HX100035,2014-01-01T00:28:00,014XX N LOREL AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENTIAL YARD (FRONT/BACK),false,false,2532,25,37,25,15,41.906393578,-87.75959876,POINT(-87.75959876 41.906393578)
9446780,HX100023,2014-01-01T00:20:00,003XX N COLUMBUS DR,0460,BATTERY,SIMPLE,STREET,true,false,114,1,42,32,08B,41.887155139,-87.62070451,POINT(-87.62070451 41.887155139)
9446781,HX100075,2014-01-01T00:53:00,025XX W THOMAS ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER,false,true,1211,12,26,24,26,41.90116455,-87.690462606,POINT(-87.690462606 41.90116455)
9446783,HX100093,2014-01-01T00:05:00,011XX W 50TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARKING LOT/GARAGE(NON.RESID.),true,false,933,9,16,61,15,41.8032982,-87.653195042,POINT(-87.653195042 41.8032982)
9446784,HX100062,2014-01-01T00:45:00,012XX S KOLIN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,1011,10,24,29,04B,41.865388535,-87.733716048,POINT(-87.733716048 41.865388535)
9446786,HX100021,2014-01-01T00:11:00,055XX W POTOMAC AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE PORCH/HALLWAY,true,false,2532,25,37,25,15,41.903964971,-87.764572334,POINT(-87.764572334 41.903964971)
9446787,HX100042,2014-01-01T03:30:00,009XX W BELMONT AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,true,false,1933,19,44,6,18,41.93991842,-87.653288878,POINT(-87.653288878 41.93991842)
9446788,HX100103,2014-01-01T01:25:00,034XX W 62ND PL,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,false,false,823,8,15,66,04A,41.779798537,-87.709216135,POINT(-87.709216135 41.779798537)
9446789,HX100068,2014-01-01T00:25:00,048XX N LAWNDALE AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,1712,17,39,14,08B,41.968777392,-87.72070834,POINT(-87.72070834 41.968777392)
9446791,HX100104,2014-01-01T00:15:00,014XX N WELLS ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1821,18,27,8,06,41.90840423,-87.6346267,POINT(-87.6346267 41.90840423)
9446792,HX100033,2014-01-01T00:35:00,082XX S DOBSON AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,false,false,631,6,8,44,15,41.745490203,-87.598898055,POINT(-87.598898055 41.745490203)
9446793,HX100099,2014-01-01T01:41:00,078XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,POLICE FACILITY/VEH PARKING LOT,true,false,621,6,17,71,18,41.751928332,-87.644077264,POINT(-87.644077264 41.751928332)
9446794,HX100047,2014-01-01T01:00:00,018XX W BERENICE AVE,0460,BATTERY,SIMPLE,STREET,false,false,1922,19,47,5,08B,41.951464344,-87.675601914,POINT(-87.675601914 41.951464344)
9446795,HX100094,2014-01-01T01:15:00,055XX N HARLEM AVE,0460,BATTERY,SIMPLE,CTA TRAIN,true,false,1612,16,41,10,08B,41.982270338,-87.806941262,POINT(-87.806941262 41.982270338)
9446796,HX100085,2014-01-01T01:25:00,053XX W MADISON ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,true,true,1522,15,28,25,26,41.880318816,-87.759259218,POINT(-87.759259218 41.880318816)
9446799,HX100040,2014-01-01T00:07:00,072XX S HARVARD AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,RESIDENTIAL YARD (FRONT/BACK),true,false,731,7,17,69,15,41.763005571,-87.633387702,POINT(-87.633387702 41.763005571)
9446801,HX100078,2014-01-01T01:10:00,053XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1522,15,28,25,08B,41.880318816,-87.759259218,POINT(-87.759259218 41.880318816)
9446805,HX100049,2014-01-01T01:00:00,026XX W WINONA ST,0560,ASSAULT,SIMPLE,RESIDENCE,true,true,2031,20,40,4,08A,41.974819425,-87.694400228,POINT(-87.694400228 41.974819425)
9446807,HX100117,2014-01-01T01:10:00,006XX E OAKWOOD BLVD,0460,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,true,false,214,2,4,38,08B,41.822699052,-87.610754474,POINT(-87.610754474 41.822699052)
9446808,HX100036,2014-01-01T00:07:00,064XX S WHIPPLE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,823,8,15,66,15,41.776545045,-87.699418652,POINT(-87.699418652 41.776545045)
9446809,HX100014,2014-01-01T00:22:00,086XX S MORGAN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,613,6,21,71,15,41.737349668,-87.648516321,POINT(-87.648516321 41.737349668)
9446810,HX100109,2014-01-01T01:45:00,010XX N HARDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1112,11,27,23,08B,41.90002996,-87.724995053,POINT(-87.724995053 41.90002996)
9446811,HX100017,2014-01-01T00:05:00,031XX W WALNUT ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE PORCH/HALLWAY,true,false,1222,12,27,27,15,41.885413516,-87.705005317,POINT(-87.705005317 41.885413516)
9446813,HX100102,2014-01-01T00:07:00,015XX S AVERS AVE,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,RESIDENCE,true,false,1014,10,24,29,15,41.860144834,-87.721338861,POINT(-87.721338861 41.860144834)
9446814,HX100063,2014-01-01T00:20:00,035XX W GRENSHAW ST,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENTIAL YARD (FRONT/BACK),true,false,1133,11,24,29,15,41.867266901,-87.71379605,POINT(-87.71379605 41.867266901)
9446815,HX100137,2014-01-01T01:45:00,031XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,913,9,11,60,14,41.836674077,-87.655986621,POINT(-87.655986621 41.836674077)
9446816,HX100018,2014-01-01T00:10:00,038XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,915,9,3,34,08B,41.824976728,-87.633795457,POINT(-87.633795457 41.824976728)
9446819,HX100082,2014-01-01T00:12:00,002XX W 106TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,512,5,34,49,15,41.7007079,-87.629504683,POINT(-87.629504683 41.7007079)
9446820,HX100147,2014-01-01T01:30:00,0000X E 18TH ST,3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,APARTMENT,true,false,131,1,3,33,24,41.857816939,-87.627010077,POINT(-87.627010077 41.857816939)
9446821,HX100157,2014-01-01T02:15:00,0000X E WASHINGTON ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,true,false,112,1,42,32,26,41.883224548,-87.625004345,POINT(-87.625004345 41.883224548)
9446823,HX100106,2014-01-01T00:27:00,069XX S THROOP ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENTIAL YARD (FRONT/BACK),true,false,734,7,17,67,15,41.76779358,-87.656616368,POINT(-87.656616368 41.76779358)
9446825,HX100032,2014-01-01T00:14:00,073XX S EBERHART AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,true,false,323,3,6,69,18,41.761442654,-87.612739654,POINT(-87.612739654 41.761442654)
9446826,HX100145,2014-01-01T01:45:00,006XX N ST CLAIR ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,true,true,1834,18,42,8,08B,41.893652298,-87.622725822,POINT(-87.622725822 41.893652298)
9446827,HX100121,2014-01-01T01:07:00,077XX S NORMAL AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,APARTMENT,true,false,621,6,17,69,24,41.753566746,-87.636806965,POINT(-87.636806965 41.753566746)
9446828,HX100167,2014-01-01T01:50:00,022XX N LINCOLN AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1812,18,43,7,08B,41.922570643,-87.644738779,POINT(-87.644738779 41.922570643)
9446830,HX100077,2014-01-01T00:13:00,043XX W WILCOX ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1115,11,28,26,15,41.878772294,-87.73372314,POINT(-87.73372314 41.878772294)
9446832,HX100092,2014-01-01T00:24:00,042XX W MONROE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,true,false,1115,11,28,26,04A,41.879690601,-87.731430526,POINT(-87.731430526 41.879690601)
9446833,HX100069,2014-01-01T01:00:00,105XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,2232,22,34,73,14,41.702728142,-87.646353382,POINT(-87.646353382 41.702728142)
9446834,HX100098,2014-01-01T00:02:00,072XX S MORGAN ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENTIAL YARD (FRONT/BACK),true,false,733,7,17,68,15,41.762519013,-87.64919809,POINT(-87.64919809 41.762519013)
9446835,HX100130,2014-01-01T01:53:00,005XX N RUSH ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,true,false,1834,18,42,8,08B,41.892002902,-87.625373807,POINT(-87.625373807 41.892002902)
9446837,HX100181,2014-01-01T01:30:00,021XX N CLYBOURN AVE,0560,ASSAULT,SIMPLE,BAR OR TAVERN,true,false,1811,18,43,7,08A,41.919989843,-87.66214265,POINT(-87.66214265 41.919989843)
9446838,HX100176,2014-01-01T01:37:00,082XX S DOBSON AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,true,false,631,6,8,44,26,41.745446274,-87.598894891,POINT(-87.598894891 41.745446274)
9446840,HX100123,2014-01-01T01:25:00,039XX W POTOMAC AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,2535,25,27,23,17,41.904451678,-87.724618792,POINT(-87.724618792 41.904451678)
